TCC moyen test,STD,TCC Train Moyen,Fit Time Moyen,N Neighbors,Weights
0.836,0.114,1.0,0.005,1,uniform
0.836,0.114,1.0,0.0037,1,distance
0.837,0.11,0.946,0.0046,3,uniform
0.837,0.114,1.0,0.001,3,distance
0.848,0.085,0.933,0.0012,5,uniform
0.851,0.094,1.0,0.0024,5,distance
0.857,0.099,0.923,0.0019,7,uniform
0.853,0.105,1.0,0.0011,7,distance
0.86,0.09,0.913,0.001,9,uniform
0.859,0.091,1.0,0.0012,9,distance
0.857,0.081,0.907,0.0022,11,uniform
0.859,0.091,1.0,0.0011,11,distance
0.851,0.113,0.905,0.0011,13,uniform
0.857,0.109,1.0,0.0033,13,distance
0.852,0.097,0.905,0.0011,15,uniform
0.861,0.092,1.0,0.0048,15,distance
0.851,0.088,0.9,0.001,17,uniform
0.849,0.098,1.0,0.0014,17,distance
0.849,0.08,0.894,0.0059,19,uniform
0.848,0.09,1.0,0.0041,19,distance
0.847,0.088,0.89,0.001,21,uniform
0.849,0.086,1.0,0.0029,21,distance
0.851,0.071,0.884,0.007,23,uniform
0.851,0.082,1.0,0.001,23,distance
0.849,0.069,0.887,0.0016,25,uniform
0.855,0.059,1.0,0.0023,25,distance
0.853,0.063,0.886,0.0016,27,uniform
0.86,0.044,1.0,0.0019,27,distance
0.863,0.037,0.885,0.001,29,uniform
0.863,0.043,1.0,0.0098,29,distance
0.868,0.022,0.883,0.0032,31,uniform
0.868,0.022,1.0,0.001,31,distance
0.864,0.033,0.881,0.0011,33,uniform
0.868,0.022,1.0,0.001,33,distance
0.865,0.029,0.883,0.0017,35,uniform
0.872,0.011,1.0,0.0015,35,distance
0.871,0.014,0.881,0.0017,37,uniform
0.873,0.007,1.0,0.0036,37,distance
0.872,0.011,0.881,0.0022,39,uniform
0.872,0.011,1.0,0.0011,39,distance
0.871,0.014,0.879,0.0027,41,uniform
0.875,0.003,1.0,0.0009,41,distance
0.875,0.003,0.876,0.0015,43,uniform
0.877,0.004,1.0,0.001,43,distance
0.875,0.003,0.876,0.0043,45,uniform
0.877,0.004,1.0,0.0012,45,distance
0.875,0.003,0.877,0.001,47,uniform
0.877,0.004,1.0,0.001,47,distance
0.875,0.003,0.877,0.0022,49,uniform
0.879,0.008,1.0,0.001,49,distance
