TCC moyen test,STD,TCC Train Moyen,Fit Time Moyen,Base Estimator  Hidden Layer Sizes,Base Estimator  Learning Rate,Max Samples,N Estimators
0.939,0.05,0.958,5.0721,50,constant,0.5,10
0.941,0.054,0.963,7.347,50,constant,0.5,15
0.941,0.054,0.958,8.5596,50,constant,0.5,20
0.943,0.038,0.961,4.0571,50,constant,0.6321,10
0.947,0.045,0.969,6.9451,50,constant,0.6321,15
0.946,0.054,0.966,8.3958,50,constant,0.6321,20
0.955,0.03,0.969,6.43,50,constant,0.9,10
0.958,0.041,0.971,9.4701,50,constant,0.9,15
0.955,0.035,0.966,11.2517,50,constant,0.9,20
0.949,0.046,0.963,3.8326,50,invscaling,0.5,10
0.946,0.048,0.962,6.5666,50,invscaling,0.5,15
0.943,0.05,0.966,7.5302,50,invscaling,0.5,20
0.95,0.035,0.968,4.5547,50,invscaling,0.6321,10
0.952,0.045,0.968,5.6132,50,invscaling,0.6321,15
0.949,0.045,0.966,9.9146,50,invscaling,0.6321,20
0.952,0.038,0.967,5.9277,50,invscaling,0.9,10
0.956,0.037,0.969,9.2295,50,invscaling,0.9,15
0.956,0.038,0.972,12.7999,50,invscaling,0.9,20
0.944,0.033,0.962,4.8122,50,adaptive,0.5,10
0.941,0.048,0.96,5.5449,50,adaptive,0.5,15
0.941,0.048,0.964,8.7196,50,adaptive,0.5,20
0.947,0.05,0.969,4.7938,50,adaptive,0.6321,10
0.946,0.041,0.963,6.669,50,adaptive,0.6321,15
0.95,0.054,0.966,9.5394,50,adaptive,0.6321,20
0.956,0.044,0.966,5.9485,50,adaptive,0.9,10
0.953,0.033,0.97,10.1433,50,adaptive,0.9,15
0.95,0.041,0.966,11.0216,50,adaptive,0.9,20
0.952,0.031,0.965,5.0168,100,constant,0.5,10
0.944,0.039,0.969,8.6175,100,constant,0.5,15
0.95,0.048,0.967,10.9967,100,constant,0.5,20
0.958,0.041,0.975,5.5131,100,constant,0.6321,10
0.959,0.048,0.973,8.5657,100,constant,0.6321,15
0.955,0.035,0.972,10.3052,100,constant,0.6321,20
0.958,0.039,0.974,7.9287,100,constant,0.9,10
0.959,0.042,0.974,12.0136,100,constant,0.9,15
0.959,0.035,0.974,13.1746,100,constant,0.9,20
0.953,0.034,0.968,4.8115,100,invscaling,0.5,10
0.959,0.041,0.968,7.5167,100,invscaling,0.5,15
0.955,0.041,0.968,9.7333,100,invscaling,0.5,20
0.958,0.034,0.972,5.9091,100,invscaling,0.6321,10
0.953,0.034,0.974,8.1969,100,invscaling,0.6321,15
0.956,0.044,0.974,11.1914,100,invscaling,0.6321,20
0.958,0.027,0.972,6.0912,100,invscaling,0.9,10
0.958,0.033,0.974,12.1873,100,invscaling,0.9,15
0.959,0.037,0.975,14.4335,100,invscaling,0.9,20
0.95,0.041,0.967,5.057,100,adaptive,0.5,10
0.95,0.035,0.97,7.9825,100,adaptive,0.5,15
0.953,0.045,0.967,10.8552,100,adaptive,0.5,20
0.953,0.021,0.976,5.6573,100,adaptive,0.6321,10
0.956,0.038,0.972,8.5538,100,adaptive,0.6321,15
0.958,0.039,0.974,9.4798,100,adaptive,0.6321,20
0.959,0.03,0.973,8.0828,100,adaptive,0.9,10
0.96,0.044,0.973,10.7557,100,adaptive,0.9,15
0.959,0.042,0.977,14.1549,100,adaptive,0.9,20
0.953,0.034,0.971,6.8406,200,constant,0.5,10
0.956,0.031,0.974,9.5476,200,constant,0.5,15
0.959,0.042,0.974,14.3017,200,constant,0.5,20
0.962,0.045,0.978,8.0442,200,constant,0.6321,10
0.956,0.038,0.977,10.7413,200,constant,0.6321,15
0.959,0.042,0.978,13.5299,200,constant,0.6321,20
0.963,0.035,0.977,10.9234,200,constant,0.9,10
0.96,0.037,0.975,15.6761,200,constant,0.9,15
0.962,0.034,0.979,19.9075,200,constant,0.9,20
0.959,0.037,0.971,6.8123,200,invscaling,0.5,10
0.958,0.041,0.971,9.8893,200,invscaling,0.5,15
0.955,0.042,0.971,13.4391,200,invscaling,0.5,20
0.96,0.044,0.98,8.8392,200,invscaling,0.6321,10
0.958,0.039,0.98,11.5265,200,invscaling,0.6321,15
0.963,0.03,0.979,14.1725,200,invscaling,0.6321,20
0.963,0.041,0.977,10.3038,200,invscaling,0.9,10
0.972,0.03,0.98,15.6298,200,invscaling,0.9,15
0.96,0.044,0.976,20.5738,200,invscaling,0.9,20
0.955,0.042,0.973,6.0881,200,adaptive,0.5,10
0.956,0.031,0.974,10.7033,200,adaptive,0.5,15
0.958,0.034,0.974,14.069,200,adaptive,0.5,20
0.958,0.039,0.977,6.7004,200,adaptive,0.6321,10
0.959,0.037,0.977,12.9884,200,adaptive,0.6321,15
0.953,0.039,0.98,16.7493,200,adaptive,0.6321,20
0.963,0.035,0.974,12.0738,200,adaptive,0.9,10
0.965,0.044,0.977,14.677,200,adaptive,0.9,15
0.963,0.041,0.977,16.3822,200,adaptive,0.9,20
