mean_test_score,std_test_score,mean_train_score,mean_fit_time,hidden_layer_sizes,learning_rate
0.89,0.149,0.887,0.3112,"(1,)",constant
0.755,0.302,0.755,0.3097,"(1,)",invscaling
0.536,0.296,0.533,0.3134,"(1,)",adaptive
0.955,0.06,0.969,0.3992,"(26,)",constant
0.953,0.046,0.972,0.3964,"(26,)",invscaling
0.952,0.036,0.967,0.406,"(26,)",adaptive
0.962,0.039,0.975,0.4666,"(51,)",constant
0.962,0.052,0.977,0.4675,"(51,)",invscaling
0.966,0.039,0.977,0.4728,"(51,)",adaptive
0.958,0.039,0.98,0.5259,"(76,)",constant
0.965,0.033,0.977,0.5287,"(76,)",invscaling
0.966,0.036,0.981,0.5356,"(76,)",adaptive
0.962,0.039,0.981,0.5973,"(101,)",constant
0.962,0.046,0.977,0.6085,"(101,)",invscaling
0.969,0.038,0.982,0.6078,"(101,)",adaptive
0.968,0.023,0.983,0.6704,"(126,)",constant
0.96,0.038,0.985,0.6626,"(126,)",invscaling
0.962,0.052,0.985,0.6691,"(126,)",adaptive
0.96,0.056,0.985,0.755,"(151,)",constant
0.965,0.05,0.984,0.7378,"(151,)",invscaling
0.96,0.037,0.985,0.7403,"(151,)",adaptive
0.966,0.045,0.984,0.805,"(176,)",constant
0.968,0.041,0.985,0.7979,"(176,)",invscaling
0.962,0.052,0.985,0.8048,"(176,)",adaptive
0.962,0.039,0.987,0.8597,"(201,)",constant
0.963,0.041,0.985,0.8687,"(201,)",invscaling
0.96,0.044,0.985,0.7249,"(201,)",adaptive
