TCC moyen test,STD,TCC Train Moyen,Fit Time Moyen,N Neighbors,Weights
0.96,0.04,1.0,0.0041,1,uniform
0.96,0.04,1.0,0.0012,1,distance
0.971,0.027,0.98,0.0011,3,uniform
0.971,0.027,1.0,0.0012,3,distance
0.966,0.022,0.981,0.001,5,uniform
0.966,0.022,1.0,0.0011,5,distance
0.965,0.038,0.977,0.0009,7,uniform
0.965,0.038,1.0,0.0022,7,distance
0.969,0.033,0.976,0.0033,9,uniform
0.969,0.033,1.0,0.0009,9,distance
0.968,0.029,0.972,0.0009,11,uniform
0.968,0.03,1.0,0.0032,11,distance
0.965,0.031,0.971,0.0009,13,uniform
0.968,0.035,1.0,0.0009,13,distance
0.966,0.034,0.969,0.0014,15,uniform
0.968,0.035,1.0,0.0009,15,distance
0.965,0.031,0.971,0.0009,17,uniform
0.966,0.034,1.0,0.0042,17,distance
0.962,0.039,0.969,0.0037,19,uniform
0.963,0.035,1.0,0.0035,19,distance
0.96,0.037,0.969,0.001,21,uniform
0.963,0.035,1.0,0.0013,21,distance
0.96,0.037,0.968,0.0009,23,uniform
0.962,0.039,1.0,0.001,23,distance
0.96,0.037,0.968,0.0009,25,uniform
0.962,0.039,1.0,0.0028,25,distance
0.96,0.037,0.966,0.0008,27,uniform
0.96,0.037,1.0,0.0008,27,distance
0.96,0.044,0.965,0.0009,29,uniform
0.962,0.039,1.0,0.0023,29,distance
0.96,0.044,0.963,0.0017,31,uniform
0.962,0.039,1.0,0.0014,31,distance
0.96,0.044,0.964,0.0009,33,uniform
0.962,0.039,1.0,0.0009,33,distance
0.96,0.044,0.963,0.0009,35,uniform
0.96,0.044,1.0,0.0008,35,distance
0.96,0.044,0.963,0.0009,37,uniform
0.96,0.044,1.0,0.0023,37,distance
0.959,0.048,0.963,0.0025,39,uniform
0.96,0.044,1.0,0.0035,39,distance
0.96,0.044,0.963,0.001,41,uniform
0.96,0.044,1.0,0.0008,41,distance
0.96,0.044,0.963,0.0043,43,uniform
0.96,0.044,1.0,0.0011,43,distance
0.96,0.044,0.961,0.0036,45,uniform
0.96,0.044,1.0,0.0009,45,distance
0.96,0.044,0.96,0.0007,47,uniform
0.96,0.044,1.0,0.0017,47,distance
0.96,0.044,0.96,0.0009,49,uniform
0.96,0.044,1.0,0.0011,49,distance
