mean_test_score,std_test_score,mean_train_score,mean_fit_time,n_neighbors,weights
0.88,0.017,0.885,0.0009,37,uniform
0.88,0.021,1,0.0009,41,distance
0.879,0.029,0.884,0.0009,31,uniform
0.879,0.015,0.886,0.0009,35,uniform
0.877,0.021,1,0.0009,39,distance
0.877,0.009,1,0.0009,47,distance
0.876,0.025,0.885,0.0009,33,uniform
0.876,0.016,0.883,0.0009,39,uniform
0.876,0.016,1,0.0009,43,distance
0.876,0.016,1,0.0009,45,distance
0.876,0.01,1,0.0009,49,distance
0.875,0.049,0.887,0.0009,27,uniform
0.875,0.022,1,0.0009,37,distance
0.875,0.016,0.881,0.0009,41,uniform
0.875,0.016,0.877,0.0009,43,uniform
0.873,0.036,0.887,0.0009,29,uniform
0.873,0.015,0.877,0.0009,47,uniform
0.873,0.015,0.877,0.0009,49,uniform
0.872,0.022,0.877,0.0009,45,uniform
0.871,0.033,1,0.0019,35,distance
0.869,0.05,0.89,0.0009,25,uniform
0.868,0.091,0.901,0.0009,17,uniform
0.868,0.049,1,0.0009,29,distance
0.868,0.054,1,0.0009,31,distance
0.867,0.081,0.905,0.0009,15,uniform
0.864,0.089,0.904,0.0009,13,uniform
0.864,0.064,0.889,0.0009,23,uniform
0.864,0.05,1,0.0009,33,distance
0.863,0.081,1,0.0009,25,distance
0.86,0.094,0.895,0.0009,21,uniform
0.859,0.11,0.907,0.0009,11,uniform
0.859,0.089,0.897,0.0009,19,uniform
0.859,0.07,1,0.0009,27,distance
0.856,0.103,1,0.0009,17,distance
0.856,0.089,1,0.0009,23,distance
0.853,0.093,1,0.0009,21,distance
0.852,0.114,1,0.0009,11,distance
0.852,0.108,1,0.0009,13,distance
0.852,0.111,1,0.0009,15,distance
0.851,0.112,1,0.0009,19,distance
0.847,0.136,0.911,0.0009,9,uniform
0.844,0.137,0.921,0.0009,7,uniform
0.839,0.171,1,0.0009,5,distance
0.837,0.146,1,0.0009,7,distance
0.837,0.143,1,0.0009,9,distance
0.833,0.169,0.931,0.0009,5,uniform
0.829,0.21,1,0.0009,3,distance
0.829,0.21,0.944,0.001,3,uniform
0.817,0.212,1,0.0011,1,uniform
0.817,0.212,1,0.0011,1,distance
,,,,,
,,,,,
,,,0.0009,,
