mean_test_score,std_test_score,mean_train_score,mean_fit_time,activation,alpha,hidden_layer_sizes,learning_rate,solver
0.974,0.038,0.982,0.7918,logistic,1,"(5, 100)",constant,lbfgs
0.972,0.038,0.978,0.9364,tanh,10,"(10, 100)",invscaling,lbfgs
0.972,0.038,0.978,0.8705,tanh,10,"(10, 100)",adaptive,lbfgs
0.972,0.038,0.979,0.8291,tanh,10,"(5, 100)",invscaling,lbfgs
0.972,0.038,0.979,0.8074,tanh,10,"(5, 100)",constant,lbfgs
0.972,0.038,0.979,0.8057,logistic,1,"(10, 100)",adaptive,lbfgs
0.972,0.038,0.978,0.5517,tanh,10,"(10, 50)",constant,lbfgs
0.972,0.038,0.979,0.4857,tanh,10,"(5, 50)",invscaling,lbfgs
0.972,0.038,0.979,0.4714,tanh,10,"(5, 50)",constant,lbfgs
0.972,0.036,0.978,0.5675,tanh,10,"(10, 50)",invscaling,lbfgs
0.972,0.036,0.982,0.5308,logistic,1,"(10, 50)",invscaling,lbfgs
0.971,0.047,0.982,0.8774,logistic,1,"(10, 100)",invscaling,lbfgs
0.971,0.043,0.982,0.8189,logistic,1,"(5, 100)",adaptive,lbfgs
0.971,0.043,0.982,0.5252,logistic,1,"(10, 50)",adaptive,lbfgs
0.971,0.041,0.982,0.4874,logistic,1,"(5, 50)",adaptive,lbfgs
0.971,0.039,0.978,0.8879,tanh,10,"(10, 100)",constant,lbfgs
0.971,0.039,0.979,0.8027,tanh,10,"(5, 100)",adaptive,lbfgs
0.971,0.039,0.978,0.5633,tanh,10,"(10, 50)",adaptive,lbfgs
0.971,0.039,0.982,0.5234,logistic,1,"(10, 50)",constant,lbfgs
0.971,0.039,0.979,0.4876,tanh,10,"(5, 50)",adaptive,lbfgs
0.969,0.044,0.981,0.8797,logistic,1,"(10, 100)",constant,lbfgs
0.969,0.042,0.979,0.2834,relu,0.1,"(5, 50)",invscaling,lbfgs
0.969,0.038,0.976,0.6331,relu,10,"(10, 100)",adaptive,lbfgs
0.969,0.038,0.975,0.5761,relu,10,"(10, 100)",constant,lbfgs
0.969,0.038,0.975,0.5706,relu,10,"(10, 100)",invscaling,lbfgs
0.969,0.038,0.975,0.561,relu,10,"(5, 100)",invscaling,lbfgs
0.969,0.038,0.975,0.5481,relu,10,"(5, 100)",constant,lbfgs
0.969,0.038,0.975,0.548,relu,10,"(5, 100)",adaptive,lbfgs
0.969,0.038,0.975,0.4931,relu,10,"(10, 50)",adaptive,lbfgs
0.969,0.038,0.975,0.4334,relu,10,"(5, 50)",constant,lbfgs
0.969,0.038,0.975,0.4091,relu,10,"(10, 50)",invscaling,lbfgs
0.969,0.038,0.975,0.3698,relu,10,"(5, 50)",adaptive,lbfgs
0.969,0.038,0.975,0.3624,relu,10,"(5, 50)",invscaling,lbfgs
0.969,0.035,0.964,1.0208,relu,10,"(5, 50)",adaptive,adam
0.969,0.035,0.969,0.6312,identity,0.1,"(10, 100)",adaptive,adam
0.969,0.035,0.982,0.4783,logistic,1,"(5, 50)",invscaling,lbfgs
0.969,0.033,0.972,0.7882,relu,0.1,"(5, 50)",invscaling,adam
0.969,0.033,0.982,0.4991,logistic,1,"(5, 50)",constant,lbfgs
0.969,0.033,0.972,0.131,identity,10,"(5, 100)",constant,lbfgs
0.969,0.033,0.972,0.1137,identity,10,"(5, 100)",invscaling,lbfgs
0.969,0.033,0.972,0.1065,identity,10,"(5, 100)",adaptive,lbfgs
0.969,0.033,0.972,0.0814,identity,10,"(10, 50)",adaptive,lbfgs
0.969,0.033,0.972,0.0756,identity,10,"(5, 50)",invscaling,lbfgs
0.969,0.033,0.972,0.0716,identity,10,"(5, 50)",adaptive,lbfgs
0.969,0.03,0.993,0.4714,logistic,0.1,"(5, 50)",invscaling,lbfgs
0.968,0.047,0.976,0.8654,relu,0.1,"(10, 50)",invscaling,adam
0.968,0.043,0.973,1.0052,relu,1,"(10, 50)",constant,adam
0.968,0.041,0.982,0.7979,logistic,1,"(5, 100)",invscaling,lbfgs
0.968,0.041,0.97,0.746,identity,1,"(5, 100)",constant,adam
0.968,0.041,0.97,0.7421,identity,0.1,"(5, 100)",invscaling,adam
