mean_test_score,std_test_score,mean_train_score,mean_fit_time,n_neighbors,weights
0.956,0.069,1,0.001,1,uniform
0.956,0.069,1,0.0009,1,distance
0.966,0.043,0.98,0.0009,3,uniform
0.966,0.043,1,0.0009,3,distance
0.974,0.05,0.98,0.0008,5,uniform
0.974,0.05,1,0.0009,5,distance
0.974,0.041,0.98,0.0009,7,uniform
0.974,0.041,1,0.0009,7,distance
0.969,0.044,0.976,0.0008,9,uniform
0.969,0.044,1,0.0008,9,distance
0.969,0.046,0.975,0.0008,11,uniform
0.968,0.046,1,0.0009,11,distance
0.968,0.045,0.973,0.0009,13,uniform
0.966,0.045,1,0.0009,13,distance
0.968,0.045,1,0.0008,15,distance
0.968,0.043,0.971,0.0008,15,uniform
0.969,0.042,1,0.0009,17,distance
0.968,0.043,0.97,0.0011,17,uniform
0.968,0.045,0.969,0.0009,19,uniform
0.968,0.045,1,0.0008,19,distance
0.966,0.049,1,0.0008,21,distance
0.965,0.047,0.969,0.0008,21,uniform
0.965,0.044,0.968,0.0009,23,uniform
0.965,0.041,1,0.0009,23,distance
0.963,0.047,0.966,0.0008,25,uniform
0.963,0.047,1,0.0008,25,distance
0.963,0.047,0.966,0.0009,27,uniform
0.963,0.047,1,0.0009,27,distance
0.962,0.052,1,0.0008,29,distance
0.96,0.057,0.965,0.0008,29,uniform
0.962,0.052,0.965,0.0009,31,uniform
0.962,0.052,1,0.0008,31,distance
0.962,0.052,1,0.0008,33,distance
0.96,0.057,0.964,0.0008,33,uniform
0.962,0.055,0.965,0.0008,35,uniform
0.962,0.055,1,0.0009,35,distance
0.962,0.055,0.964,0.0008,37,uniform
0.962,0.055,1,0.0009,37,distance
0.962,0.055,0.963,0.0008,39,uniform
0.962,0.055,1,0.0008,39,distance
0.962,0.055,0.962,0.0008,41,uniform
0.962,0.055,1,0.0008,41,distance
0.962,0.055,0.962,0.0009,43,uniform
0.962,0.055,1,0.0008,43,distance
0.962,0.055,1,0.0008,45,distance
0.96,0.061,0.962,0.0008,45,uniform
0.962,0.055,1,0.0009,47,distance
0.96,0.061,0.962,0.0008,47,uniform
0.962,0.055,1,0.001,49,distance
0.959,0.066,0.962,0.0014,49,uniform
,,,,,
,,,0.0008,,
