mean_test_score,std_test_score,mean_train_score,mean_fit_time,kernel,gamma,C,degree
0.969,0.012,0.973,0.0029,0.1,0,0.1,linear
0.939,0.045,0.942,0.0083,0.1,0,0.1,rbf
0.65,0.003,0.65,0.0048,0.1,0,0.1,poly
0.969,0.012,0.973,0.0026,0.1,0,1,linear
0.65,0.003,0.65,0.0103,0.1,0,1,rbf
0.65,0.003,0.65,0.0052,0.1,0,1,poly
0.969,0.012,0.973,0.0025,0.1,0,10,linear
0.65,0.003,0.65,0.0099,0.1,0,10,rbf
0.65,0.003,0.65,0.0046,0.1,0,10,poly
0.969,0.012,0.973,0.0025,0.1,0,100,linear
0.65,0.003,0.65,0.009,0.1,0,100,rbf
0.65,0.003,0.65,0.0047,0.1,0,100,poly
0.969,0.012,0.973,0.0025,0.1,1,0.1,linear
0.939,0.045,0.942,0.0075,0.1,1,0.1,rbf
0.966,0.021,0.974,0.0016,0.1,1,0.1,poly
0.969,0.012,0.973,0.0024,0.1,1,1,linear
0.65,0.003,0.65,0.0092,0.1,1,1,rbf
0.969,0.012,0.973,0.0029,0.1,1,1,poly
0.969,0.012,0.973,0.0025,0.1,1,10,linear
0.65,0.003,0.65,0.0093,0.1,1,10,rbf
0.968,0.011,0.972,0.004,0.1,1,10,poly
0.969,0.012,0.973,0.0025,0.1,1,100,linear
0.65,0.003,0.65,0.0089,0.1,1,100,rbf
0.966,0.021,0.974,0.0193,0.1,1,100,poly
0.969,0.012,0.973,0.0024,0.1,2,0.1,linear
0.939,0.045,0.942,0.0077,0.1,2,0.1,rbf
0.963,0.035,0.98,0.0031,0.1,2,0.1,poly
0.969,0.012,0.973,0.0025,0.1,2,1,linear
0.65,0.003,0.65,0.009,0.1,2,1,rbf
0.937,0.048,0.998,0.044,0.1,2,1,poly
0.969,0.012,0.973,0.0025,0.1,2,10,linear
0.65,0.003,0.65,0.0092,0.1,2,10,rbf
0.928,0.054,1.0,0.1486,0.1,2,10,poly
0.969,0.012,0.973,0.0025,0.1,2,100,linear
0.65,0.003,0.65,0.0105,0.1,2,100,rbf
